Wood price index obtained from GENESIS database:
GENESIS-Tabelle: 61231-0002 (verändert)
Erzeugerpreisindizes der Produkte des Holzeinschlags aus den Staatsforsten: Deutschland, Monate, Messzahlen ohne Umsatzsteuer, Produkte des Holzeinschlags 
Erzeugerpreisindex der Produkte des Holzeinschlags Deutschland
Erzeugerpreisindizes d. Produkte d. Holzeinschlags (2010=100)
__________
(C)opyright Statistisches Bundesamt (Destatis), 2019
Stand: 19.02.2019 / 10:38:39

"","Oak","Beech","Spruce","Pine"
"1",-5.5,-0.200000000000003,1,5.60000000000001
"2",1.89999999999999,0.200000000000003,-1.90000000000001,0.200000000000003
"3",1.60000000000001,-1.10000000000001,0.200000000000003,-2.80000000000001
"4",0.899999999999991,0,-1.7,-2.59999999999999
"5",-8.69999999999999,-0.599999999999994,-0.0999999999999943,-2.09999999999999
"6",5.19999999999999,-0.5,-0.900000000000006,-1.30000000000001
"7",-5.59999999999999,-0.299999999999997,0.700000000000003,1.30000000000001
"8",-4.7,-3.40000000000001,0.200000000000003,-1.2
"9",1.10000000000001,1.2,0.599999999999994,0.399999999999991
"10",10.7,4.09999999999999,1.90000000000001,-0.0999999999999943
"11",9.40000000000001,-0.199999999999989,3.39999999999999,2.8
"12",2.2,3.19999999999999,7.10000000000001,3.10000000000001
"13",-10.8,1.7,-1.40000000000001,2.5
"14",4.19999999999999,0.100000000000009,0.299999999999997,6.19999999999999
"15",-9,0,-1.2,-4.5
"16",1.60000000000001,-1.2,-0.0999999999999943,-2.19999999999999
"17",-1.10000000000001,2.89999999999999,-0.599999999999994,-1.10000000000001
"18",2,-4.5,0.199999999999989,-1.09999999999999
"19",2.5,-0.899999999999991,1.10000000000001,1.3
"20",-5.69999999999999,-3.10000000000001,1.5,-1.3
"21",-2,1.30000000000001,2.09999999999999,1.39999999999999
"22",23,15.8,9.5,7.5
"23",-7.30000000000001,2,2.10000000000001,-1.09999999999999
"24",-0.699999999999989,2.7,5.19999999999999,8.09999999999999
"25",0,1.8,1.80000000000001,2.30000000000001
"26",-4.10000000000001,1.2,0.599999999999994,-1.90000000000001
"27",-15.3,-0.800000000000011,-0.200000000000003,-1.2
"28",0.700000000000003,-3.19999999999999,-1.8,-2
"29",0.5,-3.7,-3.40000000000001,-5.8
"30",-6.10000000000001,-1,-1.69999999999999,-0.0999999999999943
"31",3.60000000000001,1.2,-3.80000000000001,-3.90000000000001
"32",-2.8,-3.30000000000001,-3.89999999999999,-0.799999999999997
"33",1.09999999999999,-2.5,-0.900000000000006,-2.5
"34",-2.2,-0.899999999999991,-5.59999999999999,-6
"35",-4.09999999999999,-0.799999999999997,-2.8,0.399999999999991
"36",1.59999999999999,11,-5.90000000000001,6.10000000000001
"37",11.2,-10.7,-9,-3.90000000000001
"38",1.7,-2.3,-4.40000000000001,2.5
"39",-12.4,0.399999999999991,-2.89999999999999,-1.89999999999999
"40",0,-4.09999999999999,-6.2,-5.90000000000001
"41",-4,-0.5,-4.5,-3.3
"42",0.700000000000003,-20.2,-3.5,-5.3
"43",-0.299999999999997,-2.3,-0.799999999999997,-2.7
"44",-2.8,10.3,-0.700000000000003,0.399999999999991
"45",-8.2,-16.7,2.7,-3.3
"46",-3.1,11.7,1,2.2
"47",1.5,-18.4,0.399999999999999,3.40000000000001
"48",-2.7,16.7,8.2,6.3
"49",1.8,29.3,0,4.59999999999999
"50",15.6,15.6,7.3,8.2
"51",6.40000000000001,2.49999999999999,5.30000000000001,-1
"52",-8.5,-0.299999999999983,3.8,-2.90000000000001
"53",-1.7,0,-5.40000000000001,-2.89999999999999
"54",-1.3,-12.7,3.7,-9.60000000000001
"55",-0.5,-5.10000000000001,-0.900000000000006,-1
"56",-2.60000000000001,-7.89999999999999,1.10000000000001,5.60000000000001
"57",4.80000000000001,6.89999999999999,-1.2,-3.8
"58",-14,-3,-3.3,-1.10000000000001
"59",2.2,-9.5,3,-2.59999999999999
"60",17.4,20.3,0,8.5
"61",-3.59999999999999,-0.200000000000003,-2,1.2
"62",7,2.59999999999999,-3.90000000000001,1.89999999999999
"63",2.39999999999999,-3.5,-2.8,-4.2
"64",-5.89999999999999,0.100000000000009,-1.3,-2.5
"65",-3.40000000000001,-5.60000000000001,-3.8,-6.8
"66",-5.5,-8.3,-3.5,-4.7
"67",5.5,-1.90000000000001,0.399999999999999,-1.8
"68",-0.799999999999997,2.80000000000001,0.600000000000001,3
"69",1.5,-6.30000000000001,-0.799999999999997,-1.2
"70",-18.2,15.6,1.9,3.40000000000001
"71",10.3,-17.9,4.8,-2
"72",18.7,19.8,3.10000000000001,7.59999999999999
"73",1.40000000000001,-5.69999999999999,5.59999999999999,4.30000000000001
"74",-2.80000000000001,4.8,2.2,-1
"75",-5.8,-2.8,1.3,-4.30000000000001
"76",-1.89999999999999,-1.2,-1.3,-1
"77",-2,-1.60000000000001,2.2,-2.39999999999999
"78",0.699999999999989,2,1,1.59999999999999
"79",-1.09999999999999,-12,-1.10000000000001,-4.3
"80",1.3,6.60000000000001,-0.200000000000003,1.5
"81",-0.599999999999994,-2.10000000000001,1,0.200000000000003
"82",-2,-3.59999999999999,0.100000000000009,1.2
"83",7.3,15.7,1.8,5.5
"84",5.40000000000001,9.39999999999999,1.5,0.899999999999991
"85",-2.5,0.100000000000009,4.3,9.10000000000001
"86",1.69999999999999,-0.400000000000006,1.2,1.89999999999999
"87",0.400000000000006,-1.09999999999999,0.599999999999994,1.10000000000001
"88",1.3,-2.3,-0.699999999999989,-2.90000000000001
"89",-3.8,-2,0,-1.90000000000001
