Wood price index obtained from GENESIS database:
GENESIS-Tabelle: 61231-0002 (verändert)
Erzeugerpreisindizes der Produkte des Holzeinschlags aus den Staatsforsten: Deutschland, Monate, Messzahlen ohne Umsatzsteuer, Produkte des Holzeinschlags 
Erzeugerpreisindex der Produkte des Holzeinschlags Deutschland
Erzeugerpreisindizes d. Produkte d. Holzeinschlags (2010=100)
__________
(C)opyright Statistisches Bundesamt (Destatis), 2019
Stand: 19.02.2019 / 10:38:39

"","Oak","Beech","Spruce","Pine"
"161",80,129,74.2,72.3
"162",66.2,125.9,75.7,70.9
"163",64.7,126.5,75.1,73.1
"164",60,102.6,72.3,65.6
"165",58.9,120.4,71.4,71.3
"166",53.1,123,71.1,66.8
"167",75.7,129.6,73.7,70.9
"168",73.6,127.8,74.8,70.9
"169",83.4,130.6,78.3,76.4
"170",85.8,133.7,77.2,75.5
"171",68.7,129.2,75.8,73.9
"172",67.3,129.7,73.7,71.1
"173",64.6,124.5,73.6,68.8
"174",73.5,125.9,71,68.3
"175",68.2,120.6,68.8,70.1
"176",68.5,87.1,74.8,69.7
"177",61.2,81.2,75.9,66.8
"178",66.7,89.9,78,70
"179",62.6,118.1,78.9,76.7
"180",79.9,122.4,78.6,72.4
"181",85,122.6,78.7,73.6
"182",68.9,121.6,78,74.1
"183",72.2,121,78.8,73.6
"184",71.5,121.1,78.5,71.9
"185",62.6,113.4,77.7,71.3
"186",65.9,101.1,76,70.3
"187",62.2,98.7,74.3,69.3
"188",65.6,99,74,70.1
"189",64.7,105.5,71.9,71.9
"190",64.2,99.4,69,68.9
"191",64,111,67,69.7
"192",64.7,107.6,68.6,69.1
"193",70.1,110,67.5,72.2
"194",69.7,107.1,67.5,64.8
"195",67.7,105.8,68.9,67.3
"196",63.4,101.7,68.5,69.6
"197",71.8,95.8,70.6,67.7
"198",67.3,84.6,69.1,68.1
"199",63.8,90.6,69.2,67.8
"200",70.5,105.4,69.1,69.6
"201",69,103.6,69,69.5
"202",71,86.4,71.1,68.8
"203",80.3,96.6,68.6,74.7
"204",73.5,102,70.6,69.2
"205",78.8,99.1,71.5,71.2
"206",83,98.7,72.9,71.6
"207",86.8,97.3,72.8,72.6
"208",78.8,93.9,73,71.8
"209",79.3,97.8,70.7,71.1
"210",81.2,90.4,72.1,69.5
"211",78.2,93.4,72.1,71.9
"212",74.8,91.4,73.2,69.1
"213",78.5,91.2,73.3,69.3
"214",86.2,96.1,74.3,71.7
"215",77.8,96.1,74.3,68.7
"216",85.9,96.2,75.1,72.2
"217",84.3,94.3,77.3,75.6
"218",89.5,95.8,76.1,74.5
"219",92.6,98.6,78,76.2
"220",87.5,98.7,80,74.2
"221",83.3,97,79.5,73.1
"222",85.4,95.1,79.9,72.9
"223",82.8,88.3,80.3,73.9
"224",85,92.4,80.7,74.4
"225",83.5,92.8,81.2,76.5
"226",85.5,99,84.3,78.1
"227",92.9,99.6,88.8,79.7
"228",101.3,100.6,89.9,83.4
